Time,Vehicle,Speed,Plate,Violation,Image
1781658278,Car,57.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781658278.jpg
1781658296,Car,43.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781658296.jpg
1781658312,Car,46.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781658312.jpg
1781658330,Car,41.8,Me,Overspeed,violation_images/Overspeed_Car_1781658330.jpg
1781658350,Car,50.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781658350.jpg
1781658378,Car,42.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781658378.jpg
1781658393,Car,45.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781658393.jpg
1781658406,Car,42.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781658406.jpg
1781658421,CNG/Auto/Bike,44.9,Unknown,Overspeed,violation_images/Overspeed_CNG/Auto/Bike_1781658421.jpg
1781658422,Car,41.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781658422.jpg
1781658433,Car,49.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781658433.jpg
1781658434,Car,45.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658434.jpg
1781658443,Car,41.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781658443.jpg
1781658462,Car,46.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781658462.jpg
1781658462,Car,40.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781658462.jpg
1781658463,Car,48.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781658463.jpg
1781658470,Car,42.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781658470.jpg
1781658477,Car,58.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781658477.jpg
1781658487,Car,44.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781658487.jpg
1781658503,Car,37.8,Unknown,Lane Change,violation_images/Lane Change_Car_1781658503.jpg
1781658507,Car,43.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781658507.jpg
1781658528,Car,43.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781658528.jpg
1781658545,Car,40.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781658545.jpg
1781658552,Car,41.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658552.jpg
1781658562,Car,46.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781658562.jpg
1781658570,Car,42.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781658570.jpg
1781658594,Car,40.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658594.jpg
1781658624,Car,46.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781658624.jpg
1781658629,Car,41.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781658629.jpg
1781658639,Car,42.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781658639.jpg
1781658644,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781658644.jpg
1781658648,Car,41.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781658648.jpg
1781658687,Car,42.7,45,Overspeed,violation_images/Overspeed_Car_1781658687.jpg
1781658704,Truck,48.1,Unknown,Overspeed,violation_images/Overspeed_Truck_1781658704.jpg
1781658714,Car,42.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781658714.jpg
1781658719,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781658719.jpg
1781658737,Car,27.9,Unknown,Lane Change,violation_images/Lane Change_Car_1781658737.jpg
1781658750,Car,42.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658750.jpg
1781658756,Car,40.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781658756.jpg
1781658770,Car,47.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781658770.jpg
1781658775,Car,40.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781658775.jpg
1781658781,Bus,40.8,Unknown,Overspeed,violation_images/Overspeed_Bus_1781658781.jpg
1781658818,Car,43.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658818.jpg
1781658823,Car,41.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781658823.jpg
1781658852,Car,41.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781658852.jpg
1781658866,Car,40.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781658866.jpg
1781658878,Car,45.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781658878.jpg
1781658904,Car,43.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658904.jpg
1781658920,Car,44.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781658920.jpg
1781658940,Car,43.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781658940.jpg
1781658965,Car,59.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781658965.jpg
1781658980,Car,47.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658980.jpg
1781658984,Car,56.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658984.jpg
1781658989,Car,51.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781658989.jpg
1781659006,Car,60.7,Unknown,Lane Change,violation_images/Lane Change_Car_1781659006.jpg
1781659017,Car,40.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781659017.jpg
1781659022,Car,46.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781659022.jpg
1781659025,Truck,41.6,Unknown,Overspeed,violation_images/Overspeed_Truck_1781659025.jpg
1781659067,Car,44.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781659067.jpg
1781659097,Car,27.8,Unknown,Lane Change,violation_images/Lane Change_Car_1781659097.jpg
1781659097,Car,19.4,Unknown,Lane Change,violation_images/Lane Change_Car_1781659097.jpg
1781659097,Car,4.1,74,Lane Change,violation_images/Lane Change_Car_1781659097.jpg
1781659143,Car,42.4,350,Overspeed,violation_images/Overspeed_Car_1781659143.jpg
1781659169,Car,40.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781659169.jpg
1781659192,Car,40.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781659192.jpg
1781659227,Car,47.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781659227.jpg
1781659305,Car,40.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781659305.jpg
1781659320,Car,10.6,Unknown,Lane Change,violation_images/Lane Change_Car_1781659320.jpg
